Id,Ime_ucenika,Prezime_ucenika,Datum_rodjenja_ucenika,OIB,Ime_oca,Adresa_ucenika,Postanski_broj,Mjesto,Naziv_zupanije,Naziv_skole,Adresa_skole,Broj_razreda,Slovo_razreda,Naziv_predmeta,Broj_sati_tjedno,Ime_nastavnika,Prezime_nastavnika,Datum_rodjenja_nastavnika,Pocetak_rada,Kraj_rada,Naziv_zvanja,Broj_ocjene
12,Leena,Lowry,2010-04-24,81163406624,Artur,149 Buena Vista Junction,33400,Chengbei,Koprivničko-križevačka,Osnovna škola Planina,30808 Oak Road,1,B,Physical Education,1,Brittni,Kynge,2026-05-16,2026-06-01,,Research professor,1
13,Arie,Holberry,2010-04-26,69705303908,Matty,82395 Monterey Drive,54321,Caobi,Vukovarsko-srijemska,Umjetnička škola Mars,517 Lakewood Gardens Circle,2,D,Business,3,Tresa,Follows,2025-09-14,2025-10-18,,Predavac,1
14,Cindie,Bour,2012-03-15,29864053885,Web,14 Shasta Drive,77000,Doujia,Krapinsko-zagorska,Osnovna škola Asteroid,48505 Kim Street,1,E,Engineering,3,Phelia,Burwood,2026-06-17,2025-10-31,,Asistent,2
15,Lizette,Gobert,2012-01-03,81318073111,Uriel,7778 Stuart Point,33400,Gejiu,Brodsko-posavska,Srednja škola Proljeće,1747 Starling Plaza,1,I,Art,1,Reiko,McLeod,2025-12-03,2026-01-16,,Research professor,5
16,Elvis,Beauvais,2010-02-02,53095978719,Pepito,736 7th Park,99000,Xiangxi,Zadarska,Tehnička škola Jupiter,9 Arizona Circle,1,A,Environmental Science,1,Samara,Lidbetter,2026-04-02,2026-03-16,,Lecturer,1
17,Gwynne,Vickars,2012-09-10,14850337093,Kim,5 Maple Court,66000,Bayabas,Vukovarsko-srijemska,Srednja škola Zemlja,4 Pankratz Place,4,D,Geography,1,Clotilda,Blowen,2026-03-15,2025-12-22,,Profesor emeritus,2
18,Shara,Perris,2008-07-02,39953358982,Abbie,7 Pond Crossing,55600,Dolní Počernice,Primorsko-goranska,Osnovna škola Crna rupa,68 Cardinal Junction,2,B,Anthropology,1,Derrik,Tregust,2026-05-25,2026-03-15,,Profesor emeritus,4
19,Sheree,Jarmaine,2009-02-17,51475130292,Howey,33 Michigan Court,11200,Mudian,Pazinska,Osnovna škola Rijeka,34 Arkansas Junction,1,C,Law,5,Yasmin,Pitrelli,2025-08-21,2026-04-03,,Profesor emeritus,5
20,Maxim,Thomton,2011-02-04,47566370461,Demetris,382 Bobwhite Road,11200,Presidencia Roque Sáenz Peña,Koprivničko-križevačka,Osnovna škola Snijeg,2790 Eliot Crossing,3,C,Anthropology,2,Brannon,Bigrigg,2026-06-11,2025-08-13,,Lecturer,1
21,Hamid,Rosenzveig,2008-10-03,46068085116,Sheffield,1 Old Shore Way,11000,Pandanrejokrajan,Varaždinska,Srednja škola Mjesec,394 Forest Crossing,3,A,Biology,4,Adriana,Tresler,2026-07-21,2026-07-27,,Asistent,1
22,Lamond,Bather,2012-10-02,64848657620,Marcellus,3 Northwestern Drive,20000,Nāḩiyat Alī ash Sharqī,Splitsko-dalmatinska,Srednja škola Planeta,613 Troy Trail,3,C,Geography,3,Gottfried,Mityushkin,2026-06-20,2025-09-08,,Associate professor,1
23,Avigdor,Aingell,2010-12-09,25445360669,Berne,40 Toban Court,88900,Emmen,Karlovačka,Srednja škola Supernova,31 Moland Pass,1,J,Physical Education,1,Gardy,Gun,2026-05-16,2025-12-12,,Docent,1
24,Laureen,Paulot,2012-02-14,22121993780,Ugo,03980 Longview Trail,35000,Kudanding,Međimurska,Srednja škola More,3774 Golden Leaf Avenue,1,I,Dentistry,1,Nancie,Penkman,2026-04-08,2026-02-10,,Asistent,1
25,Huey,Bydaway,2008-10-23,22603958227,Lucius,27 Schlimgen Circle,77800,Ban Thai Tan,Sisačko-moslavačka,Umjetnička škola Mjesec,0267 Grayhawk Street,4,A,Mathematics,2,Todd,Bridson,2025-09-09,2025-12-04,,Profesor emeritus,1
26,Bobby,Liddy,2010-03-31,93039856207,Robin,8727 Ilene Center,20000,Colonia Elía,Lika-senjska,Srednja škola Mjesec,664 Manufacturers Park,4,I,Accounting,3,Warren,Pinnere,2026-01-24,2025-12-21,,Adjunct professor,1
27,Harlan,Plues,2011-05-26,88549388105,Matthieu,4904 Dixon Point,88000,Coutances,Dubrovačko-neretvanska,Osnovna škola Zvijezda,214 Forest Parkway,2,I,Physical Education,4,Elena,Lydiate,2025-08-27,2026-06-05,,Associate professor,1
28,Janel,Gailor,2011-01-31,44401091036,Timofei,6698 Hudson Avenue,54321,Olavarría,Vukovarsko-srijemska,Srednja škola Ljeto,01 Chinook Terrace,4,J,Literature,5,Vera,Goslin,2026-01-02,2026-05-12,,Associate professor,2
29,Beaufort,Davydenko,2008-12-07,15326774196,Darcy,94891 Scofield Alley,66000,San Jose,Zagrebačka,Tehnička škola Svemir,2633 Hoffman Hill,4,J,Nursing,4,Nataline,Puckham,2026-06-06,2026-06-03,,Lecturer,2
30,Ertha,Macieja,2009-03-24,71391299404,Bink,11 Gulseth Park,55000,Montpellier,Zagrebačka,Srednja škola Mjesečina,16128 Paget Parkway,3,H,Engineering,1,Jareb,Atton,2025-08-26,2025-09-14,,Assistant professor,3
31,Alysia,Andrin,2011-10-14,52838716699,Arte,059 Tony Court,77000,Bacnar,Vukovarsko-srijemska,Osnovna škola Sunčeva svjetlost,7 Oakridge Hill,2,J,Geography,5,Donia,Slowgrove,2026-07-12,2025-10-26,,Adjunct professor,5
32,Rheba,Ayres,2011-05-20,16699592190,Halsey,700 Heffernan Pass,88000,El’brus,Požeško-slavonska,Osnovna škola Ptica,8648 Northview Point,2,C,Architecture,3,Vinny,Bigg,2026-05-13,2025-11-30,,Predavac,4
33,Phip,Pink,2012-06-29,80367476848,Hurlee,2 Grasskamp Park,55000,Bijeli,Osječko-baranjska,Tehnička škola Kiša,51 Forster Avenue,2,F,Environmental Science,3,Sigismundo,Denial,2026-03-25,2025-10-28,,Research professor,5
34,Jaimie,Yude,2009-08-16,19960904173,Siward,7 Russell Way,11200,Ḩukūmat-e Shīnkaī,Varaždinska,Tehnička škola Jupiter,4041 Mallory Drive,3,G,Philosophy,2,Hinze,Bonniface,2025-11-13,2026-01-22,,Research professor,4
35,Tris,Brammall,2010-10-11,47327121666,Filip,71308 Trailsway Crossing,55600,Qinghua,Zadarska,Srednja škola Ljeto,7534 Village Green Place,2,B,Mathematics,1,Tuck,Symcoxe,2025-08-22,2026-06-15,,Associate professor,5
36,Estell,McGiff,2009-10-11,38176005011,Edgard,9741 Arkansas Hill,44500,Qimantage,Krapinsko-zagorska,Tehnička škola Sunčev sustav,78349 Fieldstone Crossing,4,F,Chemistry,2,Elroy,Padden,2025-08-31,2025-11-24,,Research professor,5
37,Rosemonde,Booy,2008-04-12,49178520279,Carlos,234 Ruskin Crossing,99000,Paraíso de Chabasquén,Požeško-slavonska,Srednja škola Zemlja,6105 Cambridge Court,1,I,English,4,Robby,Sowte,2025-08-14,2026-06-13,,Assistant professor,2
38,Roderic,Haseman,2009-02-07,46932832868,Yorke,8 Service Lane,55600,Guanjiabao,Varaždinska,Osnovna škola Planina,9 Eliot Court,1,I,Economics,3,Jon,Panter,2025-10-19,2026-05-16,,Research professor,3
39,Sherri,Eldrid,2008-11-21,57327018579,Oby,047 Loftsgordon Court,99000,Huangbu,Međimurska,Osnovna škola Saturn,6 Anzinger Hill,4,B,Engineering,1,Tedmund,Luker,2026-01-18,2025-12-13,,Predavac,1
40,Celina,Nussii,2010-10-02,71846802183,Tuckie,03155 West Parkway,44000,Stepanovićevo,Šibensko-kninska,Srednja škola Mjesečina,12 Valley Edge Trail,1,B,Law,1,Casandra,Loxley,2025-12-25,2025-09-28,,Research professor,3
41,Lanny,Antrim,2011-09-12,48534111994,Carroll,67 Northview Pass,77800,Sājir,Vukovarsko-srijemska,Srednja škola Otok,14 Red Cloud Drive,4,B,Chemistry,3,Karie,Freemantle,2026-02-17,2025-12-18,,Profesor emeritus,2
42,Mack,Adrienne,2012-01-26,63620162311,Anselm,0 Susan Court,33400,Severnyy,Požeško-slavonska,Srednja škola Proljeće,934 John Wall Avenue,4,A,Economics,3,Lolita,Aucutt,2026-07-30,2026-07-25,,Asistent,3
43,Vikky,Drayson,2008-07-16,25877188297,Goddard,5 Meadow Valley Trail,55000,Ishioka,Vukovarsko-srijemska,Srednja škola Supernova,507 Monica Plaza,4,I,Computer Science,3,Morgen,Muris,2026-05-24,2025-12-22,,Profesor emeritus,2
44,Darbie,McCulley,2008-07-15,97251426706,Hadleigh,23 Sullivan Terrace,99000,Villeta,Brodsko-posavska,Srednja škola Galaksija,2668 Fallview Hill,1,H,English,2,Shaylynn,Giamelli,2025-10-18,2025-09-12,,Research professor,3
45,Elysha,Kryska,2008-12-18,56570103960,Giordano,717 Tomscot Lane,77000,Houzhen,Brodsko-posavska,Tehnička škola Svemir,161 Annamark Road,4,A,Chemistry,3,Niles,Benjefield,2025-11-12,2026-01-23,,Predavac,4
46,Pasquale,Libby,2009-05-17,58757045034,Chrisy,76 Everett Drive,54321,Landi Kotal,Koprivničko-križevačka,Osnovna škola Zvijezda,53193 Continental Circle,4,J,Environmental Science,3,Rhianon,Claris,2026-02-02,2026-01-28,,Asistent,2
47,Jeniece,Remnant,2010-12-03,55305857602,Reece,7244 Luster Pass,11200,Houyu,Karlovačka,Osnovna škola Saturn,54 Browning Trail,1,D,Criminal Justice,1,Latrina,Titta,2026-04-12,2026-06-20,,Assistant professor,1
48,Michale,Corbitt,2009-02-04,37572808754,Kingston,577 Lakewood Gardens Crossing,55600,Stockholm,Virovitičko-podravska,Srednja škola Galaksija,84 Ronald Regan Terrace,3,B,Environmental Science,5,Nicky,Filippov,2025-12-20,2026-02-03,,Predavac,4
49,Beatrix,Pett,2011-11-25,58947911137,Giorgi,44 Bonner Drive,66000,Blobo,Brodsko-posavska,Srednja škola Zemlja,0486 Westport Point,4,H,Music,4,Minnaminnie,Stredwick,2026-05-21,2026-01-12,,Predavac,4
50,Marie-jeanne,Bowker,2008-06-29,84638205548,Geno,146 Duke Street,20000,Uruobo-Okija,Brodsko-posavska,Osnovna škola Šuma,095 Hermina Hill,2,E,Dentistry,4,Camey,Hessel,2026-05-24,2026-01-17,,Docent,4
51,Johnathon,Byng,2008-03-18,56109370943,Adolphus,4306 Linden Crossing,99000,Whitehorse,Bjelovarsko-bilogorska,Osnovna škola Pustinja,49160 Towne Hill,3,E,Environmental Science,3,Jessa,Elmes,2026-04-14,2025-11-08,,Profesor emeritus,3
52,Juliane,Houlden,2011-11-07,91908915202,Hall,95330 Di Loreto Parkway,35000,Xiangfu,Vukovarsko-srijemska,Osnovna škola Voda,7 Debs Street,4,J,Business,4,Sharon,Willshire,2026-03-24,2025-10-18,,Associate professor,5
53,Clarance,Flowerden,2012-02-07,66316997300,August,7 Logan Trail,55600,Alupay,Brodsko-posavska,Srednja škola Brdo,524 Waubesa Court,3,J,History,1,Tarra,Dacres,2026-07-18,2025-12-25,,Visiting professor,1
54,Eb,Mendus,2012-04-07,25017311411,Zelig,3630 Lotheville Place,88900,Māmu Kānjan,Međimurska,Gimnazija Cvijet,82820 Donald Avenue,3,F,Psychology,2,Powell,Moloney,2026-02-28,2026-03-16,,Assistant professor,4
55,Doralyn,Shorte,2011-04-26,24177113117,Enrico,4 Farmco Street,44000,Užice,Pazinska,Osnovna škola Sunčeva svjetlost,00 Vidon Crossing,2,B,Architecture,4,Geri,Warwick,2026-05-31,2026-07-12,,Predavac,2
56,Arin,Obern,2012-04-07,25166071400,Phillipp,42510 Mandrake Plaza,35000,Hidalgo,Primorsko-goranska,Osnovna škola Voda,06 Burning Wood Court,1,H,Marketing,5,Cece,Munkley,2025-11-23,2025-11-23,,Research professor,5
57,Oren,Kmiec,2008-11-06,72168686862,Ulysses,156 Gulseth Center,66000,Želetava,Osječko-baranjska,Osnovna škola Asteroid,82 Fisk Junction,1,E,Architecture,2,Maible,Brychan,2025-10-12,2025-11-16,,Visiting professor,3
58,Dallis,Dearden,2009-05-02,15921009793,Ignace,7674 Dixon Hill,88000,Rizokárpaso,Zadarska,Srednja škola More,6499 Ludington Crossing,1,H,Criminal Justice,3,Jennette,Shevell,2026-07-22,2026-03-13,,Asistent,2
59,Christos,Domokos,2008-05-31,58061613120,Richie,7553 Monterey Street,12345,La Esperanza,Brodsko-posavska,Srednja škola Galaksija,727 Stone Corner Alley,3,A,Criminal Justice,4,Samantha,Kenford,2026-05-18,2026-06-09,,Asistent,1
60,Arleen,Puden,2009-03-26,59766989784,Granthem,2885 Hovde Park,99000,Yanwo,Vukovarsko-srijemska,Srednja škola Proljeće,0874 Mockingbird Crossing,4,I,Economics,4,Ailey,Varnham,2026-05-01,2025-10-06,,Visiting professor,5
61,Brandise,Winship,2012-08-22,95184684983,Karlis,91997 Golden Leaf Circle,77800,Dagkar,Pazinska,Osnovna škola Cvijet,9784 Coolidge Hill,2,G,Literature,2,Goldie,Natt,2025-10-08,2026-01-05,,Adjunct professor,5
62,Mirabella,Zappel,2008-02-03,59764987284,Zebulon,33 Hovde Crossing,54321,Tartu,Brodsko-posavska,Gimnazija Komet,417 Spenser Way,3,F,English,2,Jilleen,Otham,2026-01-01,2025-08-13,,Docent,1
63,Tammie,Addess,2008-10-09,95389159678,Hadley,224 Steensland Terrace,22300,Plan de Ayala,Varaždinska,Umjetnička škola Mjesec,36 Saint Paul Junction,4,E,History,3,Jo ann,Quittonden,2026-04-21,2026-07-11,,Adjunct professor,1
64,Nicol,Fildes,2009-04-09,70900773465,Sayer,4 Prentice Court,55600,Sinarjaya,Vukovarsko-srijemska,Srednja škola Meteor,0 Basil Road,3,J,Anthropology,3,Margalit,Thexton,2026-05-04,2026-06-05,,Asistent,3
65,Gabriell,Fallis,2011-05-08,86316937735,Kearney,113 Transport Parkway,44500,Tours,Brodsko-posavska,Osnovna škola Cvijet,12261 Schiller Junction,3,G,Physics,3,Adriane,Scirman,2026-05-25,2025-08-12,,Associate professor,2
66,Zedekiah,Wanka,2008-09-18,57300322516,Tedmund,8360 Westport Crossing,88000,Idanha-a-Nova,Primorsko-goranska,Srednja škola Galaksija,3 Packers Court,1,J,Veterinary,3,Caye,Campelli,2025-11-08,2026-05-02,,Research professor,1
67,Andrew,Lidgard,2010-03-13,31900442905,Tamas,024 Hauk Way,20000,Palaióchora,Dubrovačko-neretvanska,Umjetnička škola Sunce,99305 Upham Hill,4,F,Philosophy,4,Vinita,Halms,2026-02-25,2025-12-14,,Assistant professor,3
68,Tobe,Reisenberg,2008-05-04,95021487231,Xerxes,76098 Saint Paul Point,77000,Al Mughayyir,Splitsko-dalmatinska,Umjetnička škola Oblak,92375 Bayside Street,2,B,Architecture,3,Onfroi,Whitehead,2025-10-27,2025-11-30,,Associate professor,4
69,Brod,Calladine,2008-09-30,94729465031,Hurley,371 Hansons Trail,11200,Bęczarka,Lika-senjska,Osnovna škola Rijeka,37 Waubesa Point,4,E,Engineering,5,Letti,Gooda,2026-04-04,2025-09-07,,Adjunct professor,5
70,Sacha,Wybern,2010-05-27,25795807185,Currey,38 Crownhardt Plaza,99000,Čajetina,Splitsko-dalmatinska,Tehnička škola Kiša,5 Melrose Circle,4,A,Art,1,Stanislas,Rentz,2025-10-24,2025-10-19,,Visiting professor,3
71,Fergus,Vokins,2010-09-30,57217315440,Alasteir,3191 Monica Place,54321,Verkhniy Avzyan,Krapinsko-zagorska,Srednja škola Planeta,6042 Cody Junction,2,G,Chemistry,1,Carina,Nicol,2026-02-19,2025-11-29,,Visiting professor,5
72,Mella,Elderbrant,2008-02-09,31620002875,Elmer,96 Barby Trail,54321,Grzmiąca,Lika-senjska,Osnovna škola Cvijet,44976 Crescent Oaks Circle,4,A,Environmental Science,2,Sargent,Neasham,2026-05-14,2025-07-31,,Lecturer,4
73,Kipp,Giovannoni,2012-12-31,80227564944,Del,2 Dunning Way,44000,Padre Burgos,Varaždinska,Osnovna škola Asteroid,44226 Havey Alley,2,E,Economics,1,Thornie,Welbrock,2025-11-22,2026-04-05,,Predavac,1
74,Keelby,Blindermann,2009-05-01,22047679631,Dennis,581 Schmedeman Place,11000,Armenia,Bjelovarsko-bilogorska,Osnovna škola Cvijet,15 Armistice Lane,4,H,Psychology,1,Free,Faunt,2026-06-14,2025-09-07,,Asistent,3
75,Layne,Summerrell,2010-10-01,20488718322,Mohandis,98 Green Ridge Alley,99000,Datong,Bjelovarsko-bilogorska,Umjetnička škola Mjesec,42 Farwell Crossing,2,F,Psychology,3,Edyth,Christoffels,2026-07-16,2025-09-09,,Asistent,4
76,Bren,Farry,2012-01-19,32995993843,Dukey,24313 Portage Road,77000,Muruni,Pazinska,Gimnazija Zvijezda,8501 Forest Plaza,1,A,Medicine,1,Ashley,Ashmore,2025-08-03,2026-01-10,,Docent,3
77,Georgy,Skpsey,2008-11-28,12074585172,Hewitt,730 Mendota Street,77800,Yanglinwei,Bjelovarsko-bilogorska,Umjetnička škola Sunce,27537 Carpenter Place,2,C,Dentistry,5,Kinsley,Honatsch,2026-05-25,2026-06-25,,Visiting professor,1
78,Del,Linay,2009-08-28,45455723058,Heywood,7 Superior Street,88900,Dikou,Krapinsko-zagorska,Tehnička škola Sunčev sustav,2565 Havey Road,3,I,Chemistry,4,Arlen,Pettiward,2026-06-29,2026-03-01,,Associate professor,2
79,Livy,Feaveer,2010-04-13,85253628626,Randolf,963 Service Point,55000,Arroteia,Primorsko-goranska,Srednja škola Mjesečina,38914 Rowland Drive,2,H,Anthropology,1,Becka,Elliff,2025-10-26,2025-10-19,,Profesor emeritus,5
80,Finn,Oakinfold,2010-05-21,84284787892,Timothy,3128 Jay Road,22300,New Orleans,Pazinska,Osnovna škola Sunce,428 Westport Avenue,4,G,Mathematics,4,Lorin,Desborough,2025-10-05,2025-10-17,,Asistent,5
81,Rania,Lunt,2010-02-25,86318771731,Guthrie,0 Carey Trail,99000,Bissorã,Sisačko-moslavačka,Srednja škola Mjesečina,35941 Mallory Drive,2,C,Anthropology,1,Guthry,Davidavidovics,2026-02-04,2025-10-07,,Visiting professor,3
82,Nester,Gostridge,2011-11-15,56076386300,Chester,38 Spohn Point,20000,Ar Rābiyah,Varaždinska,Tehnička škola Jupiter,49115 Portage Crossing,1,B,Medicine,2,Audrye,Merrien,2026-05-04,2026-01-30,,Asistent,1
83,Tomasina,Fitzsymons,2011-08-11,37875963463,Lonnie,886 Columbus Trail,66000,Baoping,Osječko-baranjska,Umjetnička škola Mjesec,31 Morningstar Avenue,2,A,Dentistry,4,Desmond,Leads,2025-09-19,2026-04-21,,Assistant professor,2
84,Mabel,Rodear,2010-06-11,14459907326,Pacorro,5102 Scoville Junction,22300,Bayan,Pazinska,Osnovna škola Šuma,636 Vera Center,1,J,Physical Education,1,Felicity,Beddie,2026-04-15,2026-01-04,,Adjunct professor,4
85,Willow,Fransseni,2010-03-10,29953577887,Herold,01844 Brentwood Plaza,35000,Kombandaru,Krapinsko-zagorska,Osnovna škola Crna rupa,459 Ludington Avenue,2,D,Business,4,Launce,Mesant,2026-07-15,2026-04-26,,Profesor emeritus,4
86,Kennan,MacCurlye,2009-06-06,42174458985,Wilfrid,762 Fordem Center,55000,Priiskovyy,Brodsko-posavska,Srednja škola Galaksija,4 Lukken Point,2,G,Business,3,Olympia,De Atta,2025-12-25,2026-05-22,,Asistent,3
87,Ricardo,Nason,2012-08-14,25771190136,Freeland,825 Harper Junction,11200,El Tambo,Pazinska,Srednja škola More,049 Lyons Place,2,C,History,1,Jens,Simanenko,2026-03-25,2025-12-08,,Visiting professor,3
88,Udell,Faughey,2012-12-28,41397886649,Buddy,18072 Forest Dale Junction,88900,Shalizhai,Istarska,Srednja škola Zemlja,644 Maryland Street,4,F,Accounting,4,Aleen,Thorbon,2026-07-10,2026-03-13,,Predavac,2
89,Frederigo,McGhee,2010-10-29,69690983270,Gerrard,7 Sunfield Place,44000,Chesma,Brodsko-posavska,Srednja škola Proljeće,82243 Milwaukee Point,2,I,Physical Education,4,Ellette,Jerger,2026-05-16,2025-08-11,,Research professor,4
90,Nisse,Starkings,2010-05-10,59589351800,Duane,65 Schmedeman Crossing,55000,Miraflores,Sisačko-moslavačka,Osnovna škola Asteroid,7 Toban Road,1,I,Physics,1,Cal,Tombs,2025-08-31,2026-06-04,,Research professor,4
91,Aigneis,Dagleas,2012-01-26,13586394541,Teador,002 Lakewood Gardens Court,44000,Perreng,Dubrovačko-neretvanska,Gimnazija Komet,43 Clemons Place,4,I,Accounting,2,Lisabeth,Klimkowski,2025-09-14,2026-03-15,,Profesor emeritus,1
92,Lyn,Ponting,2008-03-18,67710045194,Dougie,443 Ruskin Way,54321,Juḩr ad Dīk,Vukovarsko-srijemska,Osnovna škola Sunčeva svjetlost,1612 Vermont Lane,4,A,Computer Science,2,Katie,Dignall,2025-09-17,2025-09-23,,Lecturer,2
93,Riobard,Hyndson,2009-07-26,97159070600,Jefferey,0 Loeprich Center,11000,Jönköping,Šibensko-kninska,Srednja škola Supernova,77 Northport Terrace,4,B,Marketing,4,Alyss,Langfield,2026-05-11,2026-05-17,,Adjunct professor,1
94,Katine,Duchart,2010-08-24,51910807378,Normand,785 Sundown Crossing,22300,Trà Vinh,Splitsko-dalmatinska,Tehnička škola Sunčev sustav,29 Elgar Court,1,G,Art,2,Kylen,McGray,2026-06-30,2025-10-23,,Asistent,4
95,Verene,Allett,2011-09-04,16794980834,Baldwin,1 Vahlen Trail,88000,Ziębice,Krapinsko-zagorska,Umjetnička škola Sunce,9559 Crowley Road,2,E,Chemistry,2,Juanita,Budibent,2026-04-03,2025-08-27,,Lecturer,3
96,Cindelyn,Spencley,2009-08-09,32982376985,Kain,30 Norway Maple Plaza,77000,Laau,Varaždinska,Srednja škola Zemlja,4992 Kinsman Crossing,1,A,History,1,Angelita,Scrivner,2026-07-09,2026-01-30,,Predavac,5
97,Buckie,Skipper,2010-08-05,40714713702,Rowland,0 Sloan Park,77000,Atamanovka,Dubrovačko-neretvanska,Umjetnička škola Mars,749 Sunbrook Crossing,1,B,Mathematics,1,Erich,Ruckledge,2025-11-29,2025-08-11,,Profesor emeritus,5
98,Sydney,Creany,2012-12-17,62138453042,Tobiah,1363 Bluejay Drive,66000,Yumani,Koprivničko-križevačka,Gimnazija Drvo,77 Cordelia Alley,2,C,Chemistry,5,Krispin,Gittus,2026-07-01,2026-04-17,,Predavac,5
99,Sherlocke,Gozard,2012-07-31,26228300675,Garvey,41 Stone Corner Trail,33400,Altay,Splitsko-dalmatinska,Osnovna škola Pustinja,7724 Talmadge Lane,3,F,Biology,5,Christabel,Kerslake,2025-08-15,2025-12-08,,Profesor emeritus,2
100,Eloise,Goodreid,2012-02-19,62140838654,Reilly,81654 Mockingbird Junction,35000,Outeiro,Vukovarsko-srijemska,Osnovna škola Trava,6 Evergreen Drive,4,E,Geography,5,Bobby,FitzAlan,2026-07-06,2025-11-13,,Assistant professor,3
101,Ives,Roberto,2012-02-21,75463972613,Gerek,4 Petterle Parkway,11000,Ivanovka,Šibensko-kninska,Srednja škola Meteor,30 Bartillon Avenue,3,G,Music,2,Reinald,Ausher,2025-12-20,2026-03-16,,Predavac,4
102,Geri,Pim,2009-08-07,82745466955,Arin,55 Declaration Drive,66700,Srebrenica,Virovitičko-podravska,Gimnazija Zvijezda,1 Waxwing Road,1,D,Psychology,1,Elwyn,Fernandes,2026-05-13,2025-09-08,,Associate professor,1
103,Reeva,Hanes,2010-05-24,33291092161,Mar,6543 Bunker Hill Court,66000,Jīma,Vukovarsko-srijemska,Osnovna škola Planeta X,00 Butterfield Street,2,A,Business,4,Xever,Bartleet,2025-08-18,2025-11-04,,Visiting professor,5
104,Talbot,Thickens,2011-12-09,19100384393,Marcos,62 Miller Trail,35000,Baishuitan,Splitsko-dalmatinska,Umjetnička škola Oblak,7 Washington Street,2,I,Accounting,2,Arlin,Blague,2026-03-21,2025-10-10,,Lecturer,2
105,Butch,Draco,2011-08-04,91438540636,Barthel,629 Cottonwood Point,44000,Sancha,Lika-senjska,Srednja škola Supernova,2 Grayhawk Way,2,D,Engineering,2,Pedro,Beviss,2026-05-15,2026-06-02,,Adjunct professor,1
106,Gene,Whiffen,2010-01-24,67956782664,Milton,9 Donald Court,66700,Léo,Sisačko-moslavačka,Gimnazija Cvijet,25873 Vahlen Parkway,1,F,Environmental Science,1,Maye,Habbeshaw,2025-10-28,2025-10-25,,Lecturer,3
107,Augustina,Kondratyuk,2008-11-28,15851534862,Harbert,3 Northwestern Place,22300,Wewit,Međimurska,Umjetnička škola Oblak,1 7th Trail,1,A,Astronomy,2,Sherye,Gurdon,2025-10-13,2026-03-27,,Visiting professor,4
